Идентификатор продукта;Наименование товара;Идентификатор производителя;Идентификатор категории;Идентификатор подкатегории;Описание;Состав;Изображение;Цена
1;Кроссовки детские «Звёздочка» экокожа;1;1;1;Кроссовки детские «Звёздочка» экокожа. Производитель: ООО «Малыш-Спорт», г. Смоленск;Верх — экокожа (полиуретан на хлопковой основе), подкладка — хлопок 100%, подошва — ПВХ;IMG_KS_195217.png;2190
2;Кроссовки детские «Гонщик» экокожа;2;1;1;Кроссовки детские «Гонщик» экокожа. Производитель: Фабрика «Топ-Топ», г. Киров;Верх — экокожа (микрофибра), подкладка — текстиль сетчатый (полиэстер), подошва — термопластичная резина (ТЭП);IMG_KS_195213.png;2490
3;Кроссовки детские «Радуга» экокожа перфорированная;3;1;1;Кроссовки детские «Радуга» экокожа перфорированная. Производитель: ИП Смирнова Л.В. (бренд «Лапушка»), г. Вологда;Верх — экокожа перфорированная, вставки — нейлон, стелька — ортопедическая с латексной подушкой, подошва — ЭВА;IMG_KS_195222.png;1990
4;Сапожки детские «Снежинка» зимние на меху;4;1;2;Сапожки детские «Снежинка» зимние на меху. Производитель: ООО «Тёплые ножки», г. Новосибирск;Верх — экокожа морозостойкая, утеплитель — искусственный мех (акрил 70%, полиэстер 30%), подкладка — флис, подошва — термоэластопласт (ТЭП);IMG_KB_185501.png;3490
5;Сапожки детские «Медвежонок» демисезонные непромокаемые;5;1;2;Сапожки детские «Медвежонок» демисезонные непромокаемые. Производитель: Компания «Северята», г. Архангельск;Верх — плащёвая ткань с водоотталкивающей пропиткой (полиэстер 100%), отделка — экокожа, подкладка — микрофибра, мембрана — AirTex, подошва — резина;IMG_KB_164816.png;3190
6;Сапожки детские «Принцесса» кожаные;6;1;2;Сапожки детские «Принцесса» кожаные. Производитель: Мастерская «Весна», г. Тула;Верх — натуральная кожа (КРС), подкладка — шерсть натуральная (70%), байка (30%), стелька — войлочная, подошва — полиуретан;IMG_KB_164811.png;4290
7;Сандалии детские «Пчёлка» ортопедические летние;7;1;3;Сандалии детские «Пчёлка» ортопедические летние. Производитель: ООО «Здоровый шаг», г. Воронеж;Верх — нубук натуральный, подкладка — кожа растительного дубления, стелька — анатомическая с супинатором (латекс + пробка), подошва — каучук;IMG_KSd_195207.png;2790
8;Сандалии детские «Морячок» текстильные с фиксатором;8;1;3;Сандалии детские «Морячок» текстильные с фиксатором. Производитель: ИП Кузнецов А.Д. (бренд «Карапуз»), г. Краснодар;Верх — джинсовая ткань (хлопок 100%), окантовка — искусственная кожа, подкладка — хлопок, подошва — ЭВА лёгкая;IMG_KSd_185508.png;1690
9;Туфли детские «Бантик» лаковые праздничные;9;1;4;Туфли детские «Бантик» лаковые праздничные. Производитель: Дом обуви «Маленький франт», г. Москва;Верх — искусственная лаковая кожа (ПВХ), носок усиленный — термопластичный полиуретан, подкладка — кожа искусственная дышащая, стелька — анатомическая с амортизацией, подошва — полиуретан;IMG_KSho_185512.png;2390
10;Сапоги зимние натуральная кожа;10;2;2;Сапоги женские зимние, нескользящая, устойчивая подошва, натуральный мех. Производитель: Дом обуви «Барбари», г. Новороссийск ;Верх — натуральная кожа, подкладка — евромех, натуральный мех, текстильный утеплитель, подошва — резина;IMG_WB_170905.png;25000
